Northing,Easting,Depth (ft),Formation,Pore pressure,Fracture pressure,Mud pressure (psi),Hole size (in),METERAGE,DRLTIME,WOB,Pump flow rate,Pump pressure,MFVIS,RETSOLID,FAN600,FAN300,MIN10GEL,RPM,MUDLOSSU
1901861,1028091,203,1,87.899,138.04,93.8469,17.5,131,10,22.5,800,1300,75,6,42,36,14,130,280
1910415,1017902,211,1,91.363,143.48,96.0894,17.5,141,9,17.5,600,1100,50,4,30,25,14,160,0
1921175,1013094,244,1,105.652,165.92,112.8012,26,193,21,25,1000,2550,30,5,22,18,10,155,320
1933305,1007091,256,1,110.848,174.08,117.4656,17.5,106,13,30,950,2300,35,4,23,20,8,155,430
1920957,1012336,266,1,115.178,180.88,124.8072,26,132,18,42.5,1000,2440,32,6,17,14,9,142.5,999
1928249,1011699,330,1,142.89,224.4,152.559,26,162,8,16,800,1450,35,5,23,17,8,155,0
1936056,1006641,348,1,150.684,236.64,158.4792,17.5,228,22,32.5,950,2390,35,5,21,16,7,155,350
1921175,1013094,361,1,156.313,245.48,166.8903,26,117,13,22.5,1000,2525,30,5,14,11,7,155,290
1910415,1017902,385,1,166.705,261.8,172.6725,17.5,174,8,47.5,920,2315,32,3,11,8,5,160,104
1911340,1016947,394,1,170.602,267.92,173.9904,17.5,328,15,65,1000,2825,37,4,31,19,7,165,0
1920957,1012336,428,1,185.324,291.04,200.8176,26,162,22,47.5,1000,2500,34,6,28,24,11,160,999
1901861,1028091,443,1,191.819,301.24,201.7422,17.5,240,9,37.5,900,2150,35,5,33,28,12,155,740
1921175,1013094,450,1,194.85,306,208.035,26,89,17,35,1000,2415,30,5,12,9,5,155,320
1934676,1008730,469,1,203.077,318.92,216.8187,17.5,346,23,42.5,950,2100,37,6,33,29,15,175,870
1936056,1006641,492,1,213.036,334.56,227.4516,17.5,144,20,32.5,950,2450,35,5,20,16,7,160,350
1933305,1007091,491,13,228.315,343.7,237.153,17.5,235,23,37.5,950,2275,33,8,21,18,8,155,660
1901861,1028091,551,1,238.583,374.68,250.9254,17.5,108,8,37.5,900,2150,34,5,29,25,10,155,540
1928249,1011699,562,1,243.346,382.16,255.9348,17.5,232,21,25,920,2575,32,5,20,15,7,165,320
1921175,1013094,573,1,248.109,389.64,264.8979,26,123,17,42.5,1000,2540,30,5,12,9,5,155,280
1927084,1012494,585,1,253.305,397.8,266.409,26,122,23,47.5,950,2550,30,3,9,7,3,160,220
1936056,1006641,585,13,272.025,409.5,270.4455,17.5,93,16,32.5,950,2450,35,5,22,17,7,160,320
1927084,1012494,635,1,274.955,431.8,293.5605,26,50,11,47.5,950,2550,32,4,18,15,9,160,490
1910415,1017902,638,1,276.254,433.84,299.3496,17.5,253,20,42.5,950,2625,33,5,13,11,5,170,300
1933305,1007091,622,13,289.23,435.4,304.7178,17.5,131,16,37.5,950,2275,33,9,22,19,8,155,670
1920957,1012336,660,1,285.78,448.8,286.902,26,139,20,47.5,1000,2250,30,3,11,8,4,150,0
1932633,1009220,657,13,305.505,459.9,294.6645,17.5,145,17,17.5,950,2150,31,4,19,14,6,160,108
1928249,1011699,682,1,295.306,463.76,310.5828,17.5,120,16,22.5,920,2575,33,5,21,16,8,165,320
1921175,1013094,688,1,297.904,467.84,318.0624,26,115,23,42.5,1000,2550,29,5,9,7,5,155,860
1927084,1012494,738,1,319.554,501.84,341.1774,26,103,24,45,950,2550,31,5,15,12,6,160,580
1910415,1017902,743,1,321.719,505.24,358.869,17.5,105,11,42.5,950,2700,32,7,13,11,5,170,200
1921175,1013094,748,1,323.884,508.64,361.284,26,48,22,22.5,1000,2475,30,7,17,14,8,155,680
1936056,1006641,731,13,339.915,511.7,337.9413,17.5,146,22,30,950,2625,35,5,19,15,7,165,350
1934676,1008730,731,13,339.915,511.7,337.9413,17.5,262,22,45,950,2350,35,6,22,18,10,165,480
1901861,1028091,755,1,326.915,513.4,343.827,17.5,204,19,30,900,2325,34,5,25,21,8,160,670
1928249,1011699,760,1,329.08,516.8,346.104,17.5,78,15,20,920,2625,33,5,18,14,7,165,280
1910415,1017902,775,1,335.575,527,374.325,17.5,32,6,42.5,940,2750,32,7,16,13,5,80,40
1932633,1009220,786,13,365.49,550.2,352.521,17.5,129,16,37.5,950,2525,30,4,18,14,6,160,204
1936056,1006641,793,13,368.745,555.1,366.6039,17.5,62,15,25,950,2625,35,5,20,15,8,170,320
1927084,1012494,836,1,361.988,568.48,386.4828,26,98,24,45,950,2550,30,5,11,9,3,160,280
1928249,1011699,843,1,365.019,573.24,383.9022,17.5,83,22,15,920,2700,33,5,20,15,7,165,350
1933305,1007091,753,10,350.145,587.34,400.0689,17.5,131,23,37.5,850,2400,32,14,22,14,2,155,790
1927084,1012494,868,1,375.844,590.24,407.2656,26,32,10,45,920,2550,30,5,10,8,3,160,460
1910415,1017902,854,13,397.11,597.8,418.3746,17.5,79,15,32.5,930,2700,32,7,18,14,7,80,40
1934676,1008730,854,13,397.11,597.8,394.8042,17.5,123,18,30,950,2450,35,6,18,15,9,170,480
1936056,1006641,873,13,405.945,611.1,409.6116,17.5,80,20,27.5,950,2675,35,6,21,16,7,170,350
1901861,1028091,900,1,389.7,612,409.86,17.5,145,21,27.5,900,2450,34,5,23,19,6,160,920
1933305,1007091,789,10,366.885,615.42,435.528,17.5,36,14,37.5,850,2400,34,16,24,15,2,155,0
1928249,1011699,907,1,392.731,616.76,413.0478,17.5,64,20,15,920,2725,33,5,22,16,7,165,350
1927084,1012494,919,1,397.927,624.92,437.5359,26,51,17,45,920,2550,32,6,16,13,9,170,460
1932633,1009220,895,13,416.175,626.5,401.4075,17.5,109,23,37.5,950,2700,30,4,17,13,6,160,216
1910415,1017902,898,13,417.57,628.6,439.9302,17.5,44,10,32.5,930,2700,32,7,16,13,7,80,0
1887965,1044892,932,1,403.556,633.76,450.156,17.5,52,5,27.5,850,2500,32,8,23,18,8,155,0
1934676,1008730,928,13,431.52,649.6,429.0144,17.5,74,18,30,940,2475,35,7,21,18,8,170,360
1927084,1012494,967,1,418.711,657.56,467.061,26,48,20,40,920,2700,33,7,19,16,11,170,750
1907900,1028999,980,1,424.34,666.4,453.054,17.5,650,24,55,1000,2450,33,3,6,4,1,165,0
1901861,1028091,982,1,425.206,667.76,447.2028,17.5,82,18,32.5,900,2550,34,5,21,17,6,165,730
1887965,1044892,985,1,426.505,669.8,475.755,17.5,53,6,27.5,850,2500,34,10,25,22,12,155,350
1911340,1016947,972,13,451.98,680.4,435.942,17.5,182,13,70,970,2825,33,6,9,7,5,165,0
1927084,1012494,1008,1,436.464,685.44,486.864,26,41,20,40,920,2700,34,7,22,19,13,170,750
1915773,1015021,1038,1,449.454,705.84,458.3808,26,73,22,40,980,2290,30,4,11,8,1,135,0
1933305,1007091,1042,1,451.186,708.56,596.7534,17.5,134,24,15,950,1600,37,19,35,25,5,190,60
1936056,1006641,914,10,425.01,712.92,441.462,17.5,41,14,30,900,2725,35,7,19,14,7,170,280
1887965,1044892,1050,1,454.65,714,521.64,17.5,65,10,20,820,2525,36,12,37,30,15,85,400
1932633,1009220,937,10,435.705,730.86,420.2445,17.5,42,15,30,850,2400,29,4,14,11,6,150,50
1936056,1006641,938,10,436.17,731.64,453.054,17.5,24,8,30,900,2725,35,7,19,15,7,170,250
1904100,1025650,1078,1,466.774,733.04,505.7976,17.5,94,20,47.5,880,1400,32,4,16,12,5,175,460
1915773,1015021,1086,1,470.238,738.48,502.0578,26,48,18,37.5,980,2290,33,5,25,20,6,135,340
1901861,1028091,1088,1,471.104,739.84,510.4896,17.5,106,13,40,900,2625,34,5,18,15,6,165,870
1914180,1020592,1095,1,474.135,744.6,513.774,17.5,85,11,50,850,2850,34,5,17,13,6,160,0
1893525,1037863,1100,1,476.3,748,473.616,17.5,192,14,57.5,980,2725,30,4,18,13,1,165,0
1911340,1016947,1072,13,498.48,750.4,495.5856,17.5,100,13,57.5,950,2875,34,6,18,14,6,165,108
1915773,1015021,1123,1,486.259,763.64,519.1629,26,37,7,35,980,2390,34,5,28,22,7,135,130
1933305,1007091,1125,1,487.125,765,648.16875,17.5,83,24,17.5,950,1575,39,20,40,28,7,190,80
1928249,1011699,1126,1,487.558,765.68,512.7804,17.5,126,22,12.5,950,1950,33,5,22,16,7,200,350
1904100,1025650,1136,1,491.888,772.48,540.8496,17.5,58,18,50,880,1425,32,4,17,13,5,175,718
1932633,1009220,998,10,464.07,778.44,447.603,17.5,41,13,30,800,2175,29,4,15,11,5,150,100
1914180,1020592,1145,1,495.785,778.6,537.234,17.5,50,14,17.5,830,2900,33,5,21,18,8,165,30
1921175,1013094,1154,1,499.682,784.72,605.1576,17.5,21,4,13.5,1000,2045,31,12,14,11,7,175,230
1901163,1028822,1159,1,501.847,788.12,543.8028,17.5,73,22,22.5,950,2825,30,6,18,13,5,165,320
1936056,1006641,1011,10,470.115,788.58,488.313,17.5,73,24,30,900,2775,35,6,21,16,7,170,320
1932633,1009220,1013,10,471.045,790.14,454.3305,17.5,15,5,30,800,2175,31,4,14,10,5,150,30
1936056,1006641,1022.5,10,475.4625,797.55,493.8675,17.5,11.5,5,30,880,2775,35,6,18,14,7,170,280
1915773,1015021,1174,1,508.342,798.32,542.7402,26,51,24,30,980,2400,34,6,27,21,7,135,0
1887965,1044892,1174,1,508.342,798.32,583.2432,17.5,124,22,37.5,820,1300,36,12,36,27,12,80,400
1915773,1015021,1175,1,508.775,799,575.6325,26,1,1,30,980,2400,34,8,16,13,8,60,0
1932633,1009220,1027.5,10,477.7875,801.45,460.83375,17.5,14.5,5,15,800,1125,30,4,15,11,5,70,40
1932633,1009220,1029,10,478.485,802.62,994.014,12.25,1.5,2,15,500,1150,57,44,142,78,5,70,0
1904100,1025650,1183,1,512.239,804.44,620.3652,17.5,47,9,47.5,830,2760,32,6,16,12,5,175,320
1915773,1015021,1184,1,512.672,805.12,580.0416,26,9,8,30,980,2500,32,1,17,13,8,135,0
1915773,1015021,1194,1,517.002,811.92,584.9406,26,10,4,30,980,2500,32,1,18,14,8,135,0
1934676,1008730,1046,10,486.39,815.88,483.5658,17.5,49,13,42.5,930,2600,35,7,24,21,9,170,300
1893525,1037863,1212,1,524.796,824.16,543.582,17.5,112,10,55,950,2675,28,2,8,5,1,160,160
1915773,1015021,1213,1,525.229,824.84,619.3578,26,19,12,37.5,980,2600,32,8,21,17,9,135,0
1933305,1007091,1215,1,526.095,826.2,712.5975,17.5,90,23,17.5,950,1600,40,20,43,31,8,175,80
1907900,1028999,1215,1,526.095,826.2,578.4615,17.5,235,22,55,950,2750,30,3,17,13,8,165,460
1928249,1011699,1218,1,527.394,828.24,571.4856,17.5,92,17,12.5,950,1980,33,6,20,16,7,200,320
1901265,1032792,1222,1,529.126,830.96,556.4988,17.5,101,19,45,900,2650,33,4,22,17,6,160,430
1901861,1028091,1222,1,529.126,830.96,623.9532,17.5,134,21,42.5,900,2675,34,8,20,16,6,165,830
1914180,1020592,1226,1,530.858,833.68,600.6174,17.5,81,12,32.5,830,2900,32,5,18,14,7,165,20
1901163,1028822,1233,1,533.889,838.44,578.5236,17.5,74,20,30,920,2825,30,6,18,13,5,165,320
1915773,1015021,1240,1,536.92,843.2,641.7,26,27,17,37.5,910,2400,33,8,25,19,9,135,0
1927084,1012494,1245,1,539.085,846.6,627.1065,17.5,41,7,40,950,2750,29,9,7,5,2,165,506
1934676,1008730,1089,10,506.385,849.42,503.4447,17.5,43,10,42.5,930,2600,35,7,24,21,9,170,200
1915773,1015021,1264,1,547.312,859.52,654.12,26,24,17,37.5,910,2400,33,8,22,17,9,135,0
1910007,1024955,1267,1,548.611,861.56,568.2495,17.5,167,17,70,880,2800,33,0,17,12,7,190,0
1911541,1023947,1267,1,548.611,861.56,594.4764,17.5,217,20,55,920,1400,30,7,8,6,2,155,0
1904100,1025650,1233,13,573.345,863.1,663.6006,17.5,50,17,47.5,800,2720,31,7,13,9,3,160,320
1907900,1028999,1270,1,549.91,863.6,587.121,17.5,55,8,47.5,950,2750,29,5,14,10,4,165,192
1933305,1007091,1272,1,550.776,864.96,746.028,17.5,57,23,20,950,1625,42,20,42,30,8,190,65
1901861,1028091,1275,1,552.075,867,659.8125,17.5,53,14,42.5,880,2750,34,11,17,14,5,165,860
1910415,1017902,1112,10,517.08,867.36,544.7688,17.5,69,18,32.5,890,2750,32,8,17,13,7,75,190
1914180,1020592,1276,1,552.508,867.68,625.1124,17.5,50,7,22.5,900,2850,32,5,18,14,8,165,60
1887965,1044892,1280,1,554.24,870.4,635.904,17.5,106,21,37.5,820,1350,35,12,31,24,10,80,440
1901163,1028822,1280,1,554.24,870.4,644.736,17.5,47,13,30,920,2825,30,9,16,12,5,165,600
1915773,1015021,1282,1,555.106,871.76,663.435,26,18,12,57.5,960,2675,33,12,25,20,9,160,300
1901265,1032792,1296,1,561.168,881.28,590.1984,17.5,74,17,45,900,2700,33,4,22,18,6,160,640
1904100,1025650,1260,13,585.9,882,686.826,17.5,27,13,47.5,800,2735,30,8,10,7,3,165,0
1893815,1040244,1301,1,563.333,884.68,592.4754,17.5,189,21,52.5,900,2925,29,6,20,17,12,180,230
1927084,1012494,1304,1,564.632,886.72,656.8248,17.5,59,10,40,880,2800,29,9,8,6,3,165,286
1915773,1015021,1305,1,565.065,887.4,675.3375,26,23,15,57.5,950,2650,33,12,24,19,9,160,120
1897145,1037320,1310,1,567.23,890.8,614.652,17.5,20,4,35,900,2825,30,9,20,18,9,170,0
1904100,1025650,1273,13,591.945,891.1,693.9123,17.5,13,9,47.5,800,2735,30,8,10,7,3,165,0
1928249,1011699,1311,1,567.663,891.48,615.1212,17.5,93,24,13.5,950,2075,33,4,20,15,7,200,350
1915773,1015021,1314,1,568.962,893.52,689.0616,26,9,9,57.5,950,2700,33,12,24,19,9,160,20
1910415,1017902,1146,10,532.89,893.88,561.4254,17.5,34,14,32.5,890,2750,32,8,18,14,7,75,192
1921175,1013094,1320,1,571.56,897.6,692.208,17.5,166,24,25,1000,2000,31,13,18,13,7,175,580
1915773,1015021,1321,1,571.993,898.28,692.7324,26,7,9,57.5,950,2700,33,12,25,20,9,160,100
1894441,1038408,1326,1,574.158,901.68,622.1592,17.5,202,22.5,50,940,2775,30,5,17,13,8,160,0
1933305,1007091,1331,1,576.323,905.08,780.6315,17.5,59,24,22.5,950,1675,42,20,43,30,8,190,70
1907900,1028999,1336,1,578.488,908.48,626.8512,17.5,66,12,47.5,950,2750,30,8,19,15,10,165,288
1933305,1007091,1347,1,583.251,915.96,790.0155,17.5,16,11,22.5,950,1700,42,20,42,30,8,190,120
1911340,1016947,1176,10,546.84,917.28,543.6648,17.5,104,20,57.5,950,2875,34,6,23,18,7,165,96
1901163,1028822,1356,1,587.148,922.08,701.73,17.5,76,16,13.5,1000,1790,30,9,18,13,5,180,300
1908883,1022901,1357,1,587.581,922.76,627.3411,17.5,203,23,55,900,2825,28,4,10,8,4,170,0
1900008,1033297,1358,1,588.014,923.44,627.8034,17.5,88,9,50,930,2700,32,0,18,13,4,180,140
1933305,1007091,1364,1,590.612,927.52,799.986,17.5,17,11,22.5,950,1700,42,22,41,29,9,115,0
1900266,1034376,1372,1,594.076,932.96,700.5432,17.5,87,13,50,920,2825,33,10,30,26,16,165,760
1910415,1017902,1198,10,557.07,934.44,586.9002,17.5,52,13,32.5,890,2750,32,8,18,14,7,75,180
1893525,1037863,1378,1,596.674,937.04,637.0494,17.5,166,22,55,950,2750,30,4,10,6,1,170,390
1908883,1022901,1380,1,597.54,938.4,657.018,17.5,23,5,45,900,2825,28,5,16,12,5,170,0
1927084,1012494,1380,1,597.54,938.4,695.106,17.5,76,16,40,870,2800,30,9,17,13,6,165,546
1901265,1032792,1380,1,597.54,938.4,685.584,17.5,84,16,45,900,2700,32,7,26,21,8,160,670
1914180,1020592,1385,1,599.705,941.8,678.5115,17.5,109,18,42.5,900,2850,32,5,21,17,7,165,60
1887965,1044892,1385,1,599.705,941.8,688.068,17.5,105,24,37.5,810,1350,35,12,38,28,10,80,460
1893815,1040244,1392,1,602.736,946.56,643.5216,17.5,91,15,37.5,950,1475,30,8,16,12,6,90,150
1901861,1028091,1355,13,630.075,948.5,710.562,17.5,80,18,32.5,930,2750,34,11,20,16,5,165,820
1904100,1025650,1359,13,631.935,951.3,797.0535,17.5,86,22,15,900,2000,30,8,10,7,3,165,0
1928249,1011699,1399,1,605.767,951.32,656.4108,17.5,88,22,16.5,950,2110,33,4,20,15,7,200,350
1900008,1033297,1400,1,606.2,952,676.2,17.5,42,9,30,850,1425,32,5,18,14,6,90,350
1910007,1024955,1402,1,607.066,953.36,648.1446,17.5,122,21.5,42.5,860,2825,35,5,19,14,8,190,460
1933305,1007091,868,9,781.2,954.8,485.1252,17.5,79,16,40,850,2500,34,17,25,16,3,155,80
1897145,1037320,1407,1,609.231,956.76,679.581,17.5,97,21,37.5,900,2860,31,10,28,23,10,170,0
1933305,1007091,1412,1,611.396,960.16,828.138,17.5,48,23,32.5,950,1675,42,22,42,30,10,135,0
1911541,1023947,1415,1,612.695,962.2,683.445,17.5,57,12,45,960,2810,32,7,18,13,10,155,0
1887965,1044892,1417,1,613.561,963.56,703.9656,17.5,32,10,37.5,800,2675,35,12,32,25,18,165,240
1894441,1038408,1419,1,614.427,964.92,665.7948,17.5,93,19,50,900,2810,30,5,19,14,8,160,0
1911340,1016947,1250,10,581.25,975,603.75,17.5,40,13,57.5,950,2740,34,6,24,19,6,165,72
1911340,1016947,1251,10,581.715,975.78,1208.466,12.25,1,3,17.5,500,2750,54,43,134,76,3,75,0
1893400,1039902,1437,1,622.221,977.16,694.071,17.5,147,23,47.5,910,2825,33,7,26,18,4,165,300
1928249,1011699,1446,1,626.118,983.28,698.418,17.5,47,15,16.5,950,2110,33,7,26,19,7,185,270
1893888,1036902,1448,1,626.984,984.64,659.4192,17.5,110,20.5,45,950,2550,30,3,8,6,3,155,0
1907900,1028999,1452,1,628.716,987.36,701.316,17.5,116,21,47.5,900,2825,30,9,22,17,11,165,576
1901861,1028091,1411,13,656.115,987.7,739.9284,17.5,56,21,20,900,2800,34,12,22,17,5,170,780
1933305,1007091,1454,1,629.582,988.72,862.8036,17.5,42,23,32.5,950,2500,42,22,40,28,10,140,0
1915773,1015021,1455,1,630.015,989.4,763.002,17.5,134,16,17.5,970,2000,33,12,24,19,9,160,0
1900266,1034376,1457,1,630.881,990.76,743.9442,17.5,85,16,40,850,2825,33,10,24,19,14,165,360
1908883,1022901,1460,1,632.18,992.8,705.18,17.5,80,10,42.5,850,2825,30,5,17,13,5,145,0
1900008,1033297,1465,1,634.345,996.2,707.595,17.5,65,16,30,850,1425,31,6,18,13,6,170,280
1933305,1007091,1466,1,634.778,996.88,869.9244,17.5,12,7,32.5,900,2500,42,22,40,28,10,140,150
1901265,1032792,1466,1,634.778,996.88,738.4242,17.5,86,24,45,900,2825,33,8,25,21,8,165,160
1904100,1025650,1426,13,663.09,998.2,905.2248,17.5,67,19,22.5,900,985,37,20,36,23,4,175,0
1901861,1028091,1426,13,663.09,998.2,747.7944,17.5,15,9,20,900,2800,34,12,24,18,5,170,760
1908883,1022901,1468,1,635.644,998.24,709.044,17.5,8,3,12.5,850,2825,30,5,19,13,5,155,0
1933305,1007091,908,9,817.2,998.8,520.0116,17.5,40,8,15,950,1600,34,19,27,17,3,190,60
1914180,1020592,1471,1,636.943,1000.28,720.6429,17.5,86,20,42.5,850,2850,32,5,20,16,8,165,64
1893525,1037863,1472,1,637.376,1000.96,710.976,17.5,94,19,55,950,2800,31,7,17,13,6,170,380
1911541,1023947,1474,1,638.242,1002.32,732.2832,17.5,59,11.5,45,960,2850,32,8,20,15,12,155,400
1898014,1035395,1476,1,639.108,1003.68,692.5392,17.5,126,18.5,37.5,930,2775,32,6,18,15,8,160,0
1928249,1011699,1480,1,640.84,1006.4,725.052,17.5,34,7,22.5,950,2175,33,8,28,20,7,175,160
1910007,1024955,1481,1,641.273,1007.08,684.6663,17.5,79,17,39,850,2825,35,5,21,15,8,195,400
1910007,1024955,1482,1,641.706,1007.76,685.1286,17.5,1,1,12.5,860,2825,35,5,18,13,8,195,100
1891823,1039898,1482,1,641.706,1007.76,766.935,17.5,142,21,55,950,2950,33,10,30,26,12,155,340
1921175,1013094,1491,1,645.603,1013.88,781.8804,17.5,171,24,25,1000,2000,31,13,18,13,7,175,999
1910007,1024955,1493,1,646.469,1015.24,690.2139,17.5,11,3.5,12.5,860,2825,35,5,19,14,8,195,160
1893815,1040244,1494,1,646.902,1015.92,721.602,17.5,102,22,37.5,900,1400,30,8,18,15,10,90,350
1933305,1007091,1496,1,647.768,1017.28,908.3712,17.5,30,17,37.5,900,2500,42,23,37,26,9,140,0
1898058,1036646,1499,1,649.067,1019.32,734.3601,17.5,80,22,38.5,900,2825,34,8,31,25,9,160,720
1904100,1025650,1457,13,677.505,1019.9,955.0635,17.5,31,10,22.5,900,985,37,21,36,23,4,175,0
1887965,1044892,1500,1,649.5,1020,776.25,17.5,83,17,37.5,860,2625,35,12,29,23,11,165,360
1908883,1022901,1501,1,649.933,1020.68,745.6968,17.5,33,12,17.5,850,2825,31,8,22,15,7,155,0
1897145,1037320,1502,1,650.366,1021.36,725.466,17.5,95,23,45,900,2860,31,10,29,23,10,180,800
1901861,1028091,1463,13,680.295,1024.1,787.3866,17.5,37,21,27.5,900,2810,35,15,25,19,5,170,580
1901163,1028822,1467,13,682.155,1026.9,809.784,17.5,111,20.5,13.5,1000,1875,34,16,26,16,4,187.5,150
1904100,1025650,1469,13,683.085,1028.3,962.9295,17.5,8,12,42.5,800,2800,38,21,59,36,5,175,90
1915773,1015021,1513,1,655.129,1028.84,803.8569,17.5,58,8,17.5,920,1800,33,13,23,18,9,160,0
1901265,1032792,1517,1,656.861,1031.56,805.9821,17.5,51,9,12.5,960,1725,33,11,21,17,8,120,120
1898058,1036646,1518,1,657.294,1032.24,764.6166,17.5,19,8.5,38.5,900,2825,33,8,31,24,7,165,800
1894441,1038408,1519,1,657.727,1032.92,733.677,17.5,100,18,50,950,2840,31,7,19,14,7,160,620
1914180,1020592,1522,1,659.026,1034.96,766.6314,17.5,51,16,42.5,850,2850,32,6,24,19,8,165,124
1899352,1035235,1523,1,659.459,1035.64,698.82855,17.5,203,24,50,880,2875,31,6,18,14,8,165,448
1891823,1039898,1524,1,659.892,1036.32,757.1232,17.5,42,7,55,950,2950,33,8,26,22,18,140,550
1898014,1035395,1526,1,660.758,1037.68,715.9992,17.5,50,13,37.5,930,2815,33,6,20,17,9,160,465
1893400,1039902,1528,1,661.624,1039.04,738.024,17.5,91,24,42.5,900,2850,33,8,22,16,8,165,340
1933305,1007091,1534,1,664.222,1043.12,931.4448,17.5,38,23,37.5,900,2500,42,23,40,28,9,140,0
1897145,1037320,1535,1,664.655,1043.8,773.1795,17.5,33,12.5,45,890,2860,30,12,30,22,9,180,540
1901861,1028091,1492,13,693.78,1044.4,802.9944,17.5,29,21,32.5,890,2820,35,15,22,17,5,170,480
1900008,1033297,1536,1,665.088,1044.48,741.888,17.5,71,22,20,850,1425,30,6,11,7,2,170,250
1911541,1023947,1537,1,665.521,1045.16,763.5816,17.5,63,21,45,960,2875,33,8,25,22,14,155,500
1927084,1012494,1539,1,666.387,1046.52,775.1943,17.5,133,24,27.5,950,1700,30,9,17,14,8,180,386
1900266,1034376,1540,1,666.82,1047.2,786.324,17.5,83,24,42.5,850,2825,33,10,25,20,15,175,480
1907900,1028999,1542,1,667.686,1048.56,766.0656,17.5,90,21,47.5,880,2825,31,10,22,16,11,165,564
1901861,1028091,1502,13,698.43,1051.4,808.3764,17.5,10,10,32.5,890,2820,35,15,24,18,5,170,260
1933305,1007091,1549,1,670.717,1053.32,972.6171,17.5,15,11,37.5,900,2500,42,23,39,27,10,140,0
1914180,1020592,1549,1,670.717,1053.32,780.2313,17.5,27,12,42.5,850,2850,32,6,24,19,8,165,200
1911541,1023947,1551,1,671.583,1054.68,770.5368,17.5,14,7,45,950,2875,33,8,26,23,14,155,300
1908883,1022901,1552,1,672.016,1055.36,771.0336,17.5,51,19,22.5,840,2875,31,10,21,15,9,155,0
1887965,1044892,1552,1,672.016,1055.36,803.16,17.5,52,13,37.5,820,1250,34,12,28,23,12,165,320
